City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
44,san fernando de monte cristi,19.8667,-71.65,299.23,47,0,7.45,DO,1707496597
45,miramichi,47.0043,-65.4654,272.17,85,95,2.46,CA,1707496598
46,churachandpur,24.3333,93.6667,280.47,58,5,0.51,IN,1707496598
47,mejit,10.2753,170.8646,299.34,78,100,10.48,MH,1707496598
48,tiksi,71.6872,128.8694,247.03,100,100,1.5,RU,1707496599
49,vila velha,-20.3297,-40.2925,305.12,64,20,5.66,BR,1707496599
50,nuuk,64.1835,-51.7216,266.49,63,75,9.26,GL,1707496599
51,alofi,-19.0595,-169.9187,298.09,94,40,5.14,NU,1707496600
52,sola,-13.8833,167.55,301.13,83,100,12.07,VU,1707496600
53,kingston,17.997,-76.7936,301.68,58,20,3.6,JM,1707496096
54,suez,29.9737,32.5263,290.07,41,0,2.82,EG,1707496601
55,kamaishi,39.2667,141.8833,274.26,80,90,1.15,JP,1707496601
56,geraldton,-28.7667,114.6,297.38,33,0,1.54,AU,1707496602
57,petropavlovsk-kamchatsky,53.0452,158.6483,260.48,85,75,3.0,RU,1707496602
58,bethel,41.3712,-73.414,283.07,73,75,2.57,US,1707496603
59,ola,59.5833,151.2833,245.45,88,29,3.61,RU,1707496603
60,port alfred,-33.5906,26.891,293.81,86,27,2.68,ZA,1707496603
61,haiku-pauwela,20.9219,-156.3051,294.84,84,0,2.06,US,1707496604
62,jayapura,-2.5333,140.7,298.81,91,89,1.62,ID,1707496604
63,karratha,-20.7377,116.8463,303.51,58,15,3.35,AU,1707496604
64,vilyuchinsk,52.9306,158.4028,261.3,87,28,3.72,RU,1707496605
65,cabo san lucas,22.8909,-109.9124,294.68,69,75,1.03,MX,1707496538
66,moree,-29.4667,149.85,298.88,66,96,4.0,AU,1707496605
67,san carlos del zulia,9.0,-71.9135,299.69,79,99,2.2,VE,1707496606
68,tabou,4.423,-7.3528,302.67,65,2,4.22,CI,1707496606
69,hermanus,-34.4187,19.2345,291.37,72,20,6.39,ZA,1707496606
70,stanley,54.868,-1.6985,279.92,95,100,5.66,GB,1707496607
71,wailua homesteads,22.0669,-159.378,293.59,89,100,3.6,US,1707496607
72,batticaloa,7.7102,81.6924,300.11,70,90,5.24,LK,1707496608
73,bhamo,24.2667,97.2333,287.97,55,17,0.63,MM,1707496608
74,hakui,36.8833,136.7833,276.86,77,7,1.33,JP,1707496608
75,sikasso,10.9167,-7.0,310.87,6,10,2.74,ML,1707496609
76,bilibino,68.0546,166.4372,245.72,99,100,0.59,RU,1707496609
77,papatowai,-46.5619,169.4708,285.66,62,100,4.01,NZ,1707496609
78,anadyr,64.75,177.4833,261.43,84,75,8.0,RU,1707496610
79,al jawf,29.5,38.75,291.49,25,86,4.57,SA,1707496610
80,okakarara,-20.5833,17.4333,302.58,36,84,2.83,NA,1707496610
81,harper,4.375,-7.7169,302.63,65,12,4.06,LR,1707496611
82,ilulissat,69.2167,-51.1,257.16,55,75,10.8,GL,1707496611
83,saipan,15.1355,145.701,298.54,83,20,6.17,MP,1707496611
84,singaparna,-7.3515,108.111,296.02,96,44,0.46,ID,1707496612
85,pointe-noire,-4.7761,11.8635,301.77,80,73,3.8,CG,1707496612
86,iqaluit,63.7506,-68.5145,247.0,70,20,2.06,CA,1707496613
87,vorgashor,67.5833,63.95,252.7,93,8,5.41,RU,1707496613
88,yellowknife,62.456,-114.3525,250.05,88,40,3.6,CA,1707496613
89,enewetak,11.3474,162.3373,299.62,81,100,9.3,MH,1707496614
90,new norfolk,-42.7826,147.0587,283.87,95,0,0.86,AU,1707496614
91,labasa,-16.4167,179.3833,299.15,89,100,1.78,FJ,1707496398
92,tazacorte,28.629,-17.9293,296.69,96,40,3.09,ES,1707496615
93,isabela,6.7085,121.9711,299.06,82,38,1.77,PH,1707496338
94,kohlu,29.8962,69.252,284.87,25,0,2.17,PK,1707496616
95,grand falls-windsor,48.9332,-55.6649,271.21,84,99,0.79,CA,1707496616
96,ibague,4.4389,-75.2322,298.1,65,40,2.57,CO,1707496616
97,thunder bay,48.4001,-89.3168,277.14,100,100,2.57,CA,1707496429
98,hammerfest,70.6634,23.6821,266.4,68,20,8.23,NO,1707496617
99,crane,31.3974,-102.3501,287.77,28,100,7.26,US,1707496617
100,kapa'a,22.0752,-159.319,294.33,88,100,3.6,US,1707496618
101,kodiak,57.79,-152.4072,276.88,93,100,9.77,US,1707496618
102,onati,43.0178,-2.4068,287.47,91,100,2.18,ES,1707496619
103,isafjordur,66.0755,-23.124,271.17,59,40,6.69,IS,1707496619
104,mili,6.0815,171.735,300.38,84,96,9.4,MH,1707496620
105,kirensk,57.7853,108.1119,267.02,96,100,3.13,RU,1707496399
106,ribeira grande,38.5167,-28.7,289.37,72,20,3.6,PT,1707496620
107,makubetsu,45.3714,141.8211,264.72,78,100,2.68,JP,1707496621
108,polyarnyy,69.1989,33.4478,256.22,95,100,2.46,RU,1707496621
109,jamestown,42.097,-79.2353,286.49,63,40,6.17,US,1707496621
110,bredasdorp,-34.5322,20.0403,293.31,63,25,7.81,ZA,1707496622
111,espanola,35.9911,-106.0806,275.7,47,3,2.27,US,1707496514
112,saldanha,-33.0117,17.9442,295.18,70,5,6.09,ZA,1707496623
113,ushuaia,-54.8,-68.3,285.96,67,75,7.72,AR,1707496577
114,norcasia,5.5778,-74.8852,302.96,60,70,1.65,CO,1707496623
115,kikwit,-5.041,18.8162,298.54,81,78,2.83,CD,1707496624
116,hsinchu,24.8036,120.9686,286.96,81,66,1.79,TW,1707496624
117,itaocara,-21.6692,-42.0761,304.5,59,40,1.12,BR,1707496625
118,tefe,-3.3542,-64.7114,305.21,66,20,3.6,BR,1707496625
119,chernyshevskiy,63.0128,112.4714,238.79,100,94,0.94,RU,1707496625
120,puerto baquerizo moreno,-0.9,-89.6,301.7,74,40,3.09,EC,1707496626
121,atafu village,-8.5421,-172.5159,302.41,75,100,4.41,TK,1707496626
122,chonchi,-42.6128,-73.8092,291.71,38,96,1.73,CL,1707496626
123,pangody,65.85,74.4859,258.59,95,100,4.92,RU,1707496627
124,tralee,52.2704,-9.7026,283.29,71,75,3.6,IE,1707496627
125,fortuna,40.5982,-124.1573,279.07,100,75,0.0,US,1707496628
126,kayyerkan,69.3786,87.7439,250.53,81,100,2.5,RU,1707496628
127,georgetown,5.4112,100.3354,303.12,71,20,3.6,MY,1707496628
128,tolanaro,-25.0319,46.9987,299.19,83,40,5.14,MG,1707496629
129,kudahuvadhoo,2.6708,72.8944,300.95,74,91,6.05,MV,1707496630
130,luderitz,-26.6481,15.1594,295.88,53,62,13.66,NA,1707496630
131,lorengau,-2.0226,147.2712,300.46,80,100,3.82,PG,1707496631
132,asti,44.8979,8.2068,283.56,98,100,1.86,IT,1707496632
133,klyuchi,52.2667,79.1667,277.12,79,100,11.2,RU,1707496632
134,novyy urengoy,66.0833,76.6333,258.75,96,100,4.85,RU,1707496633
135,myitkyina,25.3833,97.4,286.89,60,1,1.2,MM,1707496633
136,brisas de zicatela,15.8369,-97.0419,301.44,74,20,2.57,MX,1707496633
137,san patricio,28.017,-97.5169,298.07,62,99,5.89,US,1707496634
138,novomykolayivka,47.9781,35.9102,279.32,93,100,2.78,UA,1707496634
139,vadso,70.0744,29.7487,258.24,78,75,3.6,NO,1707496635
140,barrancabermeja,7.0653,-73.8547,302.33,74,40,1.54,CO,1707496635
141,portland,45.5234,-122.6762,279.25,95,100,0.89,US,1707496538
142,buta,2.7858,24.73,301.77,33,0,1.08,CD,1707496636
143,keflavik,64.0049,-22.5624,270.39,74,75,4.63,IS,1707496636
144,tonneins,44.3921,0.3124,290.27,80,84,3.47,FR,1707496637
145,vengerovo,55.6848,76.7471,269.81,93,100,4.86,RU,1707496637
146,aykhal,66.0,111.5,240.51,100,100,1.69,RU,1707496637
147,duba,27.3513,35.6901,295.02,48,71,3.3,SA,1707496638
148,lebu,-37.6167,-73.65,290.9,67,56,4.93,CL,1707496638
149,uturoa,-16.7333,-151.4333,300.13,79,100,1.7,PF,1707496638
150,fort bragg,35.139,-79.006,285.83,66,40,3.6,US,1707496639
151,samfya,-11.3649,29.5565,294.94,81,92,1.39,ZM,1707496639
152,margaret river,-33.95,115.0667,294.62,55,0,2.86,AU,1707496640
153,ivdel',60.6911,60.4206,264.92,95,100,3.58,RU,1707496640
